PRODUCT_NC,04
30021300,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale"
30021500,"Immunological products, put up in measured doses or in forms or packings for retail sale"
30029090,"Toxins and similar products, e.g. plasmodia (excl. vaccines and cultures of microorganisms)"
30029090,"Toxins and similar products, e.g. plasmodia (excl. vaccines and cultures of micro-organisms)"
30039000,"Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic uses, not in measured doses or put up for retail sale (excl. antibiotics containing hormones or steroids used as hormones, but not containing antibiotics, alkaloids or derivatives thereof, hormones or antibiotics or goods of heading 3002, 3005 or 3006)"
30039000,"Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic uses, not in measured doses or put up for retail sale (excl. antibiotics containing hormones or steroids used as hormones, but not containing antibiotics, alkaloids or derivatives thereof, hormones, antibiotics, antimalarial active principles or goods of heading 3002, 3005 or 3006)"
30049000,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. medicaments containing antibiotics, medicaments containing hormones or steroids used as hormones, but not containing antibiotics, medicaments containing alkaloids or derivatives thereof but not containing hormones or antibiotics and medicaments containing  provitamins, vitamins or derivatives thereof used as vitamins)"
30049000,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics, hormones or steroids used as hormones, alkaloids, provitamins, vitamins, their derivatives or antimalarial active principles)"
30051000,"Adhesive dressings and other articles having an adhesive layer, impregnated or covered with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes"
30059010,"Wadding and articles of wadding, impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes"
30059031,"Gauze and articles of gauze, impregnated or covered with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes"
30059099,"Bandages and similar articles impregnated or covered with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes (excl. those of textile materials, adhesive dressings and other articles having an adhesive layer)"
30067000,Gel preparations designed to be used  in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments
22071000,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%"
22072000,Denatured ethyl alcohol and other spirits of any strength
22089091,"Undenatured ethyl alcohol, of an alcoholic strength of < 80% vol, in containers holding <= 2 l"
22089099,"Undenatured ethyl alcohol, of an alcoholic strength of < 80% vol, in containers holding > 2 l"
28044000,Oxygen
28470000,"Hydrogen peroxide, whether or not solidified with urea"
29051200,"Propan-1-ol ""propyl alcohol"" and propan-2-ol ""isopropyl alcohol"""
29151100,Formic acid
