DECLARANT_ISO,PARTNER_ISO,FLOW,PRODUCT,PERIOD,VALUE_IN_EUROS
AT,AD,1,152,201912,323
AT,AD,2,139,201912,2379
AT,AD,2,141,201912,9571
AT,AD,2,143,201912,3061
AT,AD,2,151,201912,444
AT,AD,2,172,201912,6100
AT,AD,2,17S,201912,3697
AT,AD,2,202,201912,239
AT,AD,2,205,201912,360
AT,AD,2,221,201912,21
AT,AD,2,222,201912,1048
AT,AD,2,231,201912,130
AT,AD,2,239,201912,354
AT,AD,2,257,201912,37
AT,AD,2,259,201912,1001
AT,AD,2,261,201912,146776
AT,AD,2,264,201912,6729
AT,AD,2,265,201912,424
AT,AD,2,267,201912,45748
AT,AD,2,271,201912,450
AT,AD,2,279,201912,13622
AT,AD,2,281,201912,681
AT,AD,2,282,201912,32611
AT,AD,2,293,201912,67
AT,AD,2,309,201912,27044
AT,AD,2,323,201912,43742
AT,AD,2,324,201912,109
AT,AD,2,325,201912,2566
AT,AD,2,329,201912,549
AT,AE,1,012,201912,43448
AT,AE,1,014,201912,2680
AT,AE,1,103,201912,1400
AT,AE,1,105,201912,7335
AT,AE,1,108,201912,195
AT,AE,1,110,201912,159
AT,AE,1,139,201912,1259
AT,AE,1,141,201912,16654
AT,AE,1,143,201912,1677
AT,AE,1,151,201912,1182
AT,AE,1,152,201912,3603
AT,AE,1,171,201912,15
AT,AE,1,172,201912,110
AT,AE,1,201,201912,6840
AT,AE,1,204,201912,55373
AT,AE,1,205,201912,2826
AT,AE,1,221,201912,2514
AT,AE,1,222,201912,15660
AT,AE,1,231,201912,2570
AT,AE,1,234,201912,325
AT,AE,1,239,201912,4991
AT,AE,1,244,201912,935873
AT,AE,1,251,201912,342627
AT,AE,1,257,201912,68
AT,AE,1,259,201912,20634
AT,AE,1,261,201912,3741
AT,AE,1,262,201912,18852
AT,AE,1,263,201912,1151
AT,AE,1,264,201912,291
AT,AE,1,265,201912,15517
AT,AE,1,266,201912,14239
AT,AE,1,267,201912,175
AT,AE,1,271,201912,6222
AT,AE,1,272,201912,195146
AT,AE,1,273,201912,1095
AT,AE,1,279,201912,6503
AT,AE,1,281,201912,17782
AT,AE,1,284,201912,490
AT,AE,1,293,201912,2656270
AT,AE,1,303,201912,20
AT,AE,1,309,201912,35
AT,AE,1,321,201912,5434
AT,AE,1,323,201912,223
AT,AE,1,324,201912,984
AT,AE,1,325,201912,5109
AT,AE,1,329,201912,46047
AT,AE,2,012,201912,2429
AT,AE,2,101,201912,66647
AT,AE,2,103,201912,277030
AT,AE,2,105,201912,175691
AT,AE,2,106,201912,47368
AT,AE,2,107,201912,32972
AT,AE,2,108,201912,526139
AT,AE,2,109,201912,34900
AT,AE,2,110,201912,196298
AT,AE,2,131,201912,124567
AT,AE,2,132,201912,93094
AT,AE,2,139,201912,122848
AT,AE,2,141,201912,133540
AT,AE,2,142,201912,1056
AT,AE,2,143,201912,3824
AT,AE,2,151,201912,8174
AT,AE,2,152,201912,28001
AT,AE,2,161,201912,537209
AT,AE,2,162,201912,1541876
AT,AE,2,171,201912,243223
AT,AE,2,172,201912,10105
AT,AE,2,17S,201912,766215
AT,AE,2,192,201912,5120
AT,AE,2,201,201912,64923
AT,AE,2,203,201912,27315
AT,AE,2,204,201912,325631
AT,AE,2,205,201912,65376
AT,AE,2,212,201912,2483144
AT,AE,2,221,201912,48641
AT,AE,2,222,201912,775268
AT,AE,2,231,201912,135448
AT,AE,2,232,201912,499766
AT,AE,2,234,201912,21394
AT,AE,2,236,201912,1535
AT,AE,2,239,201912,74253
AT,AE,2,241,201912,65951
AT,AE,2,242,201912,103919
AT,AE,2,243,201912,703
AT,AE,2,244,201912,816572
AT,AE,2,245,201912,283
AT,AE,2,251,201912,398925
AT,AE,2,252,201912,39110
AT,AE,2,254,201912,42567
AT,AE,2,257,201912,376243
AT,AE,2,259,201912,312469
AT,AE,2,261,201912,26267
AT,AE,2,262,201912,571558
AT,AE,2,263,201912,2767217
AT,AE,2,264,201912,228120
AT,AE,2,265,201912,1634809
AT,AE,2,266,201912,204050
AT,AE,2,267,201912,623123
AT,AE,2,268,201912,46
AT,AE,2,271,201912,3476086
AT,AE,2,272,201912,91259
AT,AE,2,273,201912,342727
AT,AE,2,274,201912,991956
AT,AE,2,275,201912,20378
AT,AE,2,279,201912,863191
AT,AE,2,281,201912,1168300
AT,AE,2,282,201912,2959873
AT,AE,2,284,201912,107911
AT,AE,2,289,201912,1063895
AT,AE,2,291,201912,12817951
AT,AE,2,292,201912,174200
AT,AE,2,293,201912,28711
AT,AE,2,303,201912,1110620
AT,AE,2,309,201912,125413
AT,AE,2,310,201912,415182
AT,AE,2,321,201912,55333
AT,AE,2,323,201912,36448
AT,AE,2,324,201912,1445
AT,AE,2,325,201912,1069752
AT,AE,2,329,201912,114964
AT,AF,1,139,201912,34298
AT,AF,1,141,201912,191
AT,AF,1,321,201912,332
AT,AF,2,108,201912,38547
AT,AF,2,172,201912,165
AT,AF,2,201,201912,1
AT,AF,2,204,201912,23526
AT,AF,2,205,201912,20876
AT,AF,2,265,201912,3159
AT,AF,2,281,201912,173
AT,AF,2,282,201912,241
AT,AF,2,291,201912,132160
AT,AF,2,292,201912,38790
AT,AF,2,293,201912,4934
AT,AG,2,262,201912,25076
AT,AG,2,264,201912,7000
AT,AL,1,011,201912,72087
AT,AL,1,012,201912,170907
AT,AL,1,101,201912,48645
AT,AL,1,108,201912,2908
AT,AL,1,141,201912,346
AT,AL,1,152,201912,60091
AT,AL,1,221,201912,22
AT,AL,1,241,201912,339855
AT,AL,1,244,201912,86792
AT,AL,1,293,201912,134
AT,AL,2,011,201912,212
AT,AL,2,014,201912,50800
AT,AL,2,101,201912,22556
AT,AL,2,103,201912,1682
AT,AL,2,105,201912,180498
AT,AL,2,106,201912,559
AT,AL,2,107,201912,3379
AT,AL,2,108,201912,72964
AT,AL,2,109,201912,90291
AT,AL,2,110,201912,888413
AT,AL,2,139,201912,13690
AT,AL,2,141,201912,6979
AT,AL,2,143,201912,192
AT,AL,2,151,201912,17
AT,AL,2,161,201912,66143
AT,AL,2,162,201912,133384
AT,AL,2,171,201912,62666
AT,AL,2,172,201912,2837
AT,AL,2,192,201912,15830
AT,AL,2,201,201912,1758
AT,AL,2,202,201912,2489
AT,AL,2,203,201912,6527
AT,AL,2,204,201912,3708
AT,AL,2,205,201912,34285
AT,AL,2,212,201912,284664
AT,AL,2,221,201912,121
AT,AL,2,222,201912,215167
AT,AL,2,231,201912,2649
AT,AL,2,234,201912,7387
AT,AL,2,239,201912,13268
AT,AL,2,244,201912,9563
AT,AL,2,251,201912,775
AT,AL,2,257,201912,58096
AT,AL,2,259,201912,37479
AT,AL,2,261,201912,47444
AT,AL,2,262,201912,45970
AT,AL,2,263,201912,840238
AT,AL,2,264,201912,15368
AT,AL,2,265,201912,77503
AT,AL,2,266,201912,130925
AT,AL,2,267,201912,7935
AT,AL,2,271,201912,3141
AT,AL,2,272,201912,22057
AT,AL,2,273,201912,1957
AT,AL,2,274,201912,60806
AT,AL,2,275,201912,2045
AT,AL,2,279,201912,126882
AT,AL,2,281,201912,323331
AT,AL,2,282,201912,19655
AT,AL,2,284,201912,850
AT,AL,2,289,201912,16952
AT,AL,2,291,201912,39555
AT,AL,2,292,201912,7109
AT,AL,2,293,201912,6
AT,AL,2,302,201912,4306
AT,AL,2,310,201912,14113
AT,AL,2,325,201912,75255
AT,AL,2,329,201912,10546
AT,AM,2,103,201912,7792
AT,AM,2,106,201912,167
AT,AM,2,107,201912,1943
AT,AM,2,108,201912,251832
AT,AM,2,10S,201912,3002
AT,AM,2,110,201912,1363
AT,AM,2,151,201912,2330
