DECLARANT_ISO,PARTNER_ISO,FLOW,cpa,PERIOD,val_cpa,var_cpa
AT,AD,1,14 ,202012,1409,-69.34
AT,AD,1,141,202012,805,-64.33
AT,AD,1,143,202012,604,-74.17
AT,AD,1,15 ,202012,292,-51.74
AT,AD,1,152,202012,292,-9.6
AT,AD,1,26 ,202012,2143,19.99
AT,AD,1,264,202012,2143,84.9
AT,AD,2,10 ,202012,65,225.0
AT,AD,2,13 ,202012,650,-72.68
AT,AD,2,139,202012,650,-72.68
AT,AD,2,14 ,202012,9509,-24.72
AT,AD,2,141,202012,9138,-4.52
AT,AD,2,143,202012,371,-87.88
AT,AD,2,15 ,202012,1859,-9.84
AT,AD,2,151,202012,1746,293.24
AT,AD,2,152,202012,113,-93.02
AT,AD,2,17 ,202012,262,-97.33
AT,AD,2,172,202012,262,-95.7
AT,AD,2,20 ,202012,1493,149.25
AT,AD,2,202,202012,1117,367.36
AT,AD,2,205,202012,252,-30.0
AT,AD,2,22 ,202012,184,-82.79
AT,AD,2,221,202012,1,-95.24
AT,AD,2,222,202012,183,-82.54
AT,AD,2,23 ,202012,214,-55.79
AT,AD,2,231,202012,14,-89.23
AT,AD,2,239,202012,200,-43.5
AT,AD,2,25 ,202012,45337,4267.73
AT,AD,2,257,202012,890,2305.41
AT,AD,2,259,202012,695,-30.57
AT,AD,2,26 ,202012,38621,-80.66
AT,AD,2,261,202012,8749,-94.04
AT,AD,2,265,202012,1615,280.9
AT,AD,2,267,202012,28226,-38.3
AT,AD,2,27 ,202012,15045,6.2
AT,AD,2,271,202012,2388,430.67
AT,AD,2,273,202012,299,218.09
AT,AD,2,279,202012,11942,-12.33
AT,AD,2,28 ,202012,34665,3.68
AT,AD,2,281,202012,966,41.85
AT,AD,2,282,202012,33168,1.71
AT,AD,2,29 ,202012,3232,4723.88
AT,AD,2,293,202012,1161,1632.84
AT,AD,2,30 ,202012,52994,95.95
AT,AD,2,309,202012,52994,95.95
AT,AD,2,32 ,202012,78718,56.01
AT,AD,2,321,202012,79,-97.74
AT,AD,2,323,202012,72018,64.64
AT,AD,2,324,202012,2005,1739.45
AT,AD,2,325,202012,880,-65.71
AT,AD,2,329,202012,3736,580.51
AT,AE,1,01 ,202012,4590,-90.09
AT,AE,1,012,202012,439,-98.99
AT,AE,1,014,202012,4151,54.89
AT,AE,1,10 ,202012,2118,-76.28
AT,AE,1,108,202012,2118,986.15
AT,AE,1,11 ,202012,8,-94.97
AT,AE,1,110,202012,8,-94.97
AT,AE,1,13 ,202012,10962,770.69
AT,AE,1,139,202012,10962,770.69
AT,AE,1,14 ,202012,30705,67.5
AT,AE,1,141,202012,27106,62.76
AT,AE,1,143,202012,3452,105.84
AT,AE,1,15 ,202012,11242,134.94
AT,AE,1,151,202012,5654,378.34
AT,AE,1,152,202012,5588,55.09
AT,AE,1,16 ,202012,3122,73.44
AT,AE,1,162,202012,3122,73.44
AT,AE,1,17 ,202012,2232,1685.6
AT,AE,1,172,202012,2232,1929.09
AT,AE,1,20 ,202012,53324,-18.01
AT,AE,1,201,202012,843,-87.68
AT,AE,1,204,202012,52481,-5.22
AT,AE,1,22 ,202012,39231,115.86
AT,AE,1,221,202012,2588,2.94
AT,AE,1,222,202012,36643,133.99
AT,AE,1,23 ,202012,1371,-83.5
AT,AE,1,231,202012,243,-90.54
AT,AE,1,234,202012,460,41.54
AT,AE,1,24 ,202012,245754,-73.74
AT,AE,1,244,202012,245128,-73.81
AT,AE,1,25 ,202012,488071,34.33
AT,AE,1,251,202012,428577,25.09
AT,AE,1,257,202012,5825,8466.18
AT,AE,1,259,202012,53669,160.1
AT,AE,1,26 ,202012,430469,697.67
AT,AE,1,261,202012,215,-94.25
AT,AE,1,262,202012,287668,1425.93
AT,AE,1,263,202012,3422,197.31
AT,AE,1,264,202012,11283,3777.32
AT,AE,1,265,202012,120979,679.65
AT,AE,1,266,202012,6257,-56.06
AT,AE,1,267,202012,645,268.57
AT,AE,1,27 ,202012,454365,117.43
AT,AE,1,271,202012,46415,645.98
AT,AE,1,272,202012,341936,75.22
AT,AE,1,273,202012,11889,985.75
AT,AE,1,279,202012,41630,540.17
AT,AE,1,28 ,202012,143043,673.04
AT,AE,1,281,202012,105378,492.61
